
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
107.0   107   0.0500   |   0.03728   0.15034   |   0.54739   14.43483  
108.0   108   0.0500   |   0.06590   0.49671   |   0.91163   14.58850  
109.0   109   0.0500   |   0.05338   0.20064   |   1.97224   14.10286  
110.0   110   0.0500   |   0.06431   0.13526   |   0.91545   16.02295  
111.0   111   0.0500   |   0.03968   0.34639   |   0.95473   12.78321  
112.0   112   0.0500   |   0.05960   0.36527   |   0.13758   12.13985  
113.0   113   0.0500   |   0.05745   3.98636   |   0.60584   13.06243  
114.0   114   0.0500   |   0.04327   0.08184   |   1.58457   15.52657  
115.0   115   0.0500   |   0.05809   0.17334   |   1.22784   15.85271  
116.0   116   0.0500   |   0.06491   0.27126   |   0.13725   12.04061  
117.0   117   0.0500   |   0.04954   0.50197   |   0.31429   12.76887  
118.0   118   0.0500   |   0.04364   0.18847   |   0.59060   13.52582  
119.0   119   0.0500   |   0.06911   0.24822   |   0.38424   12.59268  
120.0   120   0.0500   |   0.04704   0.22421   |   0.72486   13.87540  
